0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.21668455,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21668455,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21668455,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21668455
0.233369021,0.200000039,0.2,0.2,0.2,0.2,0.2,0.2,0.200000039,0.233369021,0.200000039,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200000039,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200000039,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200000039,0.233369021,0.200000039,0.2,0.2,0.2,0.2,0.2,0.2,0.200000039,0.233369021
0.25005289,0.200000379,0.2,0.2,0.2,0.2,0.2,0.2,0.200000379,0.25005289,0.20000038,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000038,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000038,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000038,0.25005289,0.200000379,0.2,0.2,0.2,0.2,0.2,0.2,0.200000379,0.25005289
0.266734926,0.200001632,0.2,0.2,0.2,0.2,0.2,0.2,0.200001632,0.266734926,0.20000164,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000164,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000164,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000164,0.266734926,0.200001632,0.2,0.2,0.2,0.2,0.2,0.2,0.200001632,0.266734926
0.283412944,0.20000489,0.2,0.2,0.2,0.2,0.2,0.2,0.20000489,0.283412944,0.200004914,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200004914,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200004914,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200004914,0.283412944,0.20000489,0.2,0.2,0.2,0.2,0.2,0.2,0.20000489,0.283412944
0.300083471,0.200011883,0.2,0.2,0.2,0.2,0.2,0.2,0.200011883,0.300083471,0.200011944,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200011944,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200011944,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200011944,0.300083471,0.200011883,0.2,0.2,0.2,0.2,0.2,0.2,0.200011883,0.300083471
0.316741317,0.200025197,0.2,0.2,0.2,0.2,0.2,0.2,0.200025197,0.316741317,0.200025333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200025333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200025333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200025333,0.316741317,0.200025197,0.2,0.2,0.2,0.2,0.2,0.2,0.200025197,0.316741317
0.333379015,0.200048554,0.2,0.2,0.2,0.2,0.2,0.2,0.200048554,0.333379015,0.200048828,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200048828,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200048828,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200048828,0.333379015,0.200048554,0.2,0.2,0.2,0.2,0.2,0.2,0.200048554,0.333379015
0.349986105,0.200087166,0.2,0.2,0.2,0.2,0.2,0.2,0.200087166,0.349986105,0.200087676,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200087676,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200087676,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.200087676,0.349986105,0.200087166,0.2,0.2,0.2,0.2,0.2,0.2,0.200087166,0.349986105
0.366548215,0.200148191,0.2,0.2,0.2,0.2,0.2,0.2,0.200148191,0.366548215,0.20014909,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20014909,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20014909,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20014909,0.366548215,0.200148191,0.2,0.2,0.2,0.2,0.2,0.2,0.200148191,0.366548215
