0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1024.499177,1012.852839,1006.087683,1001.975445,999.9314281,999.9314281,1001.975445,1006.087683,1012.852839,1024.499177,1012.912923,1008.197592,1003.544932,999.9541361,997.905349,997.905349,999.9541361,1003.544932,1008.197592,1012.912923,1006.180036,1003.595566,1000,996.4044339,993.8199641,993.8199641,996.4044339,1000,1003.595566,1006.180036,1002.094651,1000.045864,996.4550684,991.802408,987.0870771,987.0870771,991.802408,996.4550684,1000.045864,1002.094651,1000.068572,998.0245554,993.9123168,987.1471608,975.500823,975.500823,987.1471608,993.9123168,998.0245554,1000.068572,1000.068572,998.0245554,993.9123168,987.1471608,975.500823,975.500823,987.1471608,993.9123168,998.0245554,1000.068572,1002.094651,1000.045864,996.4550684,991.802408,987.0870771,987.0870771,991.802408,996.4550684,1000.045864,1002.094651,1006.180036,1003.595566,1000,996.4044339,993.8199641,993.8199641,996.4044339,1000,1003.595566,1006.180036,1012.912923,1008.197592,1003.544932,999.9541361,997.905349,997.905349,999.9541361,1003.544932,1008.197592,1012.912923,1024.499177,1012.852839,1006.087683,1001.975445,999.9314281,999.9314281,1001.975445,1006.087683,1012.852839,1024.499177
1026.149427,1013.299624,1006.326845,1002.033982,999.8857115,999.8857115,1002.033982,1006.326845,1013.299624,1026.149427,1013.364225,1008.515972,1003.675076,999.9100459,997.7566636,997.7566636,999.9100459,1003.675076,1008.515972,1013.364225,1006.425928,1003.729509,999.959221,996.188745,993.492055,993.492055,996.188745,999.959221,1003.729509,1006.425928,1002.162573,1000.008869,996.2429783,991.4005539,986.5510815,986.5510815,991.4005539,996.2429783,1000.008869,1002.162573,1000.03396,997.8849884,993.5903302,986.613693,974.7979414,974.7979414,986.613693,993.5903302,997.8849884,1000.03396,1000.03396,997.8849884,993.5903302,986.613693,974.7979414,974.7979414,986.613693,993.5903302,997.8849884,1000.03396,1002.162573,1000.008869,996.2429783,991.4005539,986.5510815,986.5510815,991.4005539,996.2429783,1000.008869,1002.162573,1006.425928,1003.729509,999.959221,996.188745,993.492055,993.492055,996.188745,999.959221,1003.729509,1006.425928,1013.364225,1008.515972,1003.675076,999.9100459,997.7566636,997.7566636,999.9100459,1003.675076,1008.515972,1013.364225,1026.149427,1013.299624,1006.326845,1002.033982,999.8857115,999.8857115,1002.033982,1006.326845,1013.299624,1026.149427
1027.28939,1013.26881,1006.29006,1001.990917,999.8387484,999.8387484,1001.990917,1006.29006,1013.26881,1027.28939,1013.335629,1008.482313,1003.634717,999.8631906,997.7058213,997.7058213,999.8631906,1003.634717,1008.482313,1013.335629,1006.390458,1003.689676,999.9126868,996.1355752,993.43476,993.43476,996.1355752,999.9126868,1003.689676,1006.390458,1002.120597,999.9627333,996.1901238,991.3408683,986.4870534,986.4870534,991.3408683,996.1901238,999.9627333,1002.120597,999.9880543,997.834955,993.533507,986.549839,974.7295168,974.7295168,986.549839,993.533507,997.834955,999.9880543,999.9880543,997.834955,993.533507,986.549839,974.7295168,974.7295168,986.549839,993.533507,997.834955,999.9880543,1002.120597,999.9627333,996.1901238,991.3408683,986.4870534,986.4870534,991.3408683,996.1901238,999.9627333,1002.120597,1006.390458,1003.689676,999.9126868,996.1355752,993.43476,993.43476,996.1355752,999.9126868,1003.689676,1006.390458,1013.335629,1008.482313,1003.634717,999.8631906,997.7058213,997.7058213,999.8631906,1003.634717,1008.482313,1013.335629,1027.28939,1013.26881,1006.29006,1001.990917,999.8387484,999.8387484,1001.990917,1006.29006,1013.26881,1027.28939
1028.546115,1013.215237,1006.237303,1001.938411,999.7862956,999.7862956,1001.938411,1006.237303,1013.215237,1028.546115,1013.284168,1008.429997,1003.582307,999.810747,997.6533443,997.6533443,999.810747,1003.582307,1008.429997,1013.284168,1006.338737,1003.63762,999.8603959,996.0831151,993.3822027,993.3822027,996.0831151,999.8603959,1003.63762,1006.338737,1002.068731,999.9106645,996.1378055,991.2883305,986.4343859,986.4343859,991.2883305,996.1378055,999.9106645,1002.068731,999.9361054,997.7828366,993.4811392,986.4972353,974.6767703,974.6767703,986.4972353,993.4811392,997.7828366,999.9361054,999.9361054,997.7828366,993.4811392,986.4972353,974.6767703,974.6767703,986.4972353,993.4811392,997.7828366,999.9361054,1002.068731,999.9106645,996.1378055,991.2883305,986.4343859,986.4343859,991.2883305,996.1378055,999.9106645,1002.068731,1006.338737,1003.63762,999.8603959,996.0831151,993.3822027,993.3822027,996.0831151,999.8603959,1003.63762,1006.338737,1013.284168,1008.429997,1003.582307,999.810747,997.6533443,997.6533443,999.810747,1003.582307,1008.429997,1013.284168,1028.546115,1013.215237,1006.237303,1001.938411,999.7862956,999.7862956,1001.938411,1006.237303,1013.215237,1028.546115
1029.961517,1013.154316,1006.177489,1001.879127,999.7272309,999.7272309,1001.879127,1006.177489,1013.154316,1029.961517,1013.225353,1008.370507,1003.523006,999.7516785,997.594403,997.594403,999.7516785,1003.523006,1008.370507,1013.225353,1006.279943,1003.578662,999.8014666,996.0242729,993.3234198,993.3234198,996.0242729,999.8014666,1003.578662,1006.279943,1002.010065,999.8519533,996.0790965,991.2296524,986.3757328,986.3757328,991.2296524,996.0790965,999.8519533,1002.010065,999.8775165,997.7242312,993.4225321,986.4386408,974.6181876,974.6181876,986.4386408,993.4225321,997.7242312,999.8775165,999.8775165,997.7242312,993.4225321,986.4386408,974.6181876,974.6181876,986.4386408,993.4225321,997.7242312,999.8775165,1002.010065,999.8519533,996.0790965,991.2296524,986.3757328,986.3757328,991.2296524,996.0790965,999.8519533,1002.010065,1006.279943,1003.578662,999.8014666,996.0242729,993.3234198,993.3234198,996.0242729,999.8014666,1003.578662,1006.279943,1013.225353,1008.370507,1003.523006,999.7516785,997.594403,997.594403,999.7516785,1003.523006,1008.370507,1013.225353,1029.961517,1013.154316,1006.177489,1001.879127,999.7272309,999.7272309,1001.879127,1006.177489,1013.154316,1029.961517
1031.560955,1013.08562,1006.109934,1001.812166,999.6605165,999.6605165,1001.812166,1006.109934,1013.08562,1031.560955,1013.158749,1008.30325,1003.455999,999.6849507,997.5278262,997.5278262,999.6849507,1003.455999,1008.30325,1013.158749,1006.213402,1003.511997,999.734871,995.9577981,993.2570229,993.2570229,995.9577981,999.734871,1003.511997,1006.213402,1001.943715,999.7855795,996.0127535,991.1633657,986.3094857,986.3094857,991.1633657,996.0127535,999.7855795,1001.943715,999.8112732,997.6579869,993.3563089,986.3724515,974.5520228,974.5520228,986.3724515,993.3563089,997.6579869,999.8112732,999.8112732,997.6579869,993.3563089,986.3724515,974.5520228,974.5520228,986.3724515,993.3563089,997.6579869,999.8112732,1001.943715,999.7855795,996.0127535,991.1633657,986.3094857,986.3094857,991.1633657,996.0127535,999.7855795,1001.943715,1006.213402,1003.511997,999.734871,995.9577981,993.2570229,993.2570229,995.9577981,999.734871,1003.511997,1006.213402,1013.158749,1008.30325,1003.455999,999.6849507,997.5278262,997.5278262,999.6849507,1003.455999,1008.30325,1013.158749,1031.560955,1013.08562,1006.109934,1001.812166,999.6605165,999.6605165,1001.812166,1006.109934,1013.08562,1031.560955
1033.37308,1013.008005,1006.033446,1001.736333,999.5849593,999.5849593,1001.736333,1006.033446,1013.008005,1033.37308,1013.083204,1008.227038,1003.380096,999.6093693,997.4524175,997.4524175,999.6093693,1003.380096,1008.227038,1013.083204,1006.137917,1003.436431,999.6594138,995.8824912,993.1818095,993.1818095,995.8824912,999.6594138,1003.436431,1006.137917,1001.868487,999.7103477,995.9375766,991.0882653,986.2344362,986.2344362,991.0882653,995.9375766,999.7103477,1001.868487,999.736181,997.5829062,993.2812669,986.2974591,974.4770639,974.4770639,986.2974591,993.2812669,997.5829062,999.736181,999.736181,997.5829062,993.2812669,986.2974591,974.4770639,974.4770639,986.2974591,993.2812669,997.5829062,999.736181,1001.868487,999.7103477,995.9375766,991.0882653,986.2344362,986.2344362,991.0882653,995.9375766,999.7103477,1001.868487,1006.137917,1003.436431,999.6594138,995.8824912,993.1818095,993.1818095,995.8824912,999.6594138,1003.436431,1006.137917,1013.083204,1008.227038,1003.380096,999.6093693,997.4524175,997.4524175,999.6093693,1003.380096,1008.227038,1013.083204,1033.37308,1013.008005,1006.033446,1001.736333,999.5849593,999.5849593,1001.736333,1006.033446,1013.008005,1033.37308
1035.430996,1012.920142,1005.946629,1001.650244,999.4991778,999.4991778,1001.650244,1005.946629,1012.920142,1035.430996,1012.99738,1008.140479,1003.293908,999.5235517,997.3667972,997.3667972,999.5235517,1003.293908,1008.140479,1012.99738,1006.052085,1003.350575,999.5737115,995.7969726,993.0964021,993.0964021,995.7969726,999.5737115,1003.350575,1006.052085,1001.782991,999.6248733,995.8521857,991.0029741,986.1492087,986.1492087,991.0029741,995.8521857,999.6248733,1001.782991,999.6508558,997.4976077,993.1960277,986.2122874,974.391936,974.391936,986.2122874,993.1960277,997.4976077,999.6508558,999.6508558,997.4976077,993.1960277,986.2122874,974.391936,974.391936,986.2122874,993.1960277,997.4976077,999.6508558,1001.782991,999.6248733,995.8521857,991.0029741,986.1492087,986.1492087,991.0029741,995.8521857,999.6248733,1001.782991,1006.052085,1003.350575,999.5737115,995.7969726,993.0964021,993.0964021,995.7969726,999.5737115,1003.350575,1006.052085,1012.99738,1008.140479,1003.293908,999.5235517,997.3667972,997.3667972,999.5235517,1003.293908,1008.140479,1012.99738,1035.430996,1012.920142,1005.946629,1001.650244,999.4991778,999.4991778,1001.650244,1005.946629,1012.920142,1035.430996
1037.772642,1012.820532,1005.84788,1001.552307,999.4015864,999.4015864,1001.552307,1005.84788,1012.820532,1037.772642,1012.899765,1008.04198,1003.195844,999.4259114,997.269382,997.269382,999.4259114,1003.195844,1008.04198,1012.899765,1005.954299,1003.252835,999.4761765,995.6996594,992.9992203,992.9992203,995.6996594,999.4761765,1003.252835,1005.954299,1001.685634,999.5275678,995.7549969,990.9059117,986.0522246,986.0522246,990.9059117,995.7549969,999.5275678,1001.685634,999.5537092,997.4005063,993.0990097,986.1153579,974.2950621,974.2950621,986.1153579,993.0990097,997.4005063,999.5537092,999.5537092,997.4005063,993.0990097,986.1153579,974.2950621,974.2950621,986.1153579,993.0990097,997.4005063,999.5537092,1001.685634,999.5275678,995.7549969,990.9059117,986.0522246,986.0522246,990.9059117,995.7549969,999.5275678,1001.685634,1005.954299,1003.252835,999.4761765,995.6996594,992.9992203,992.9992203,995.6996594,999.4761765,1003.252835,1005.954299,1012.899765,1008.04198,1003.195844,999.4259114,997.269382,997.269382,999.4259114,1003.195844,1008.04198,1012.899765,1037.772642,1012.820532,1005.84788,1001.552307,999.4015864,999.4015864,1001.552307,1005.84788,1012.820532,1037.772642
1040.440886,1012.707509,1005.735382,1001.440721,999.2903898,999.2903898,1001.440721,1005.735382,1012.707509,1040.440886,1012.788685,1007.929742,1003.084102,999.3146524,997.1583793,997.1583793,999.3146524,1003.084102,1007.929742,1012.788685,1005.842736,1003.141408,999.3650125,995.5887596,992.8884743,992.8884743,995.5887596,999.3650125,1003.141408,1005.842736,1001.57461,999.4166334,995.6442176,990.795289,985.9416969,985.9416969,990.795289,995.6442176,999.4166334,1001.57461,999.4429433,997.2898073,992.9884222,986.0048828,974.1846562,974.1846562,986.0048828,992.9884222,997.2898073,999.4429433,999.4429433,997.2898073,992.9884222,986.0048828,974.1846562,974.1846562,986.0048828,992.9884222,997.2898073,999.4429433,1001.57461,999.4166334,995.6442176,990.795289,985.9416969,985.9416969,990.795289,995.6442176,999.4166334,1001.57461,1005.842736,1003.141408,999.3650125,995.5887596,992.8884743,992.8884743,995.5887596,999.3650125,1003.141408,1005.842736,1012.788685,1007.929742,1003.084102,999.3146524,997.1583793,997.1583793,999.3146524,1003.084102,1007.929742,1012.788685,1040.440886,1012.707509,1005.735382,1001.440721,999.2903898,999.2903898,1001.440721,1005.735382,1012.707509,1040.440886
